Name,Smiles,solv_dip,G_solv,HOMO_solv,LUMO_solv,C_charges,O_charges,Most_neg,Most_pos,Het_charges,SASA,LsoluHsolv,LsolvHsolu,Volume,MW,DeltaG_sol
Ph2-en-284_water.log,CC(=O)N1CCC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)CC1,7.1043,0.089172,-0.35836,0.0149,-0.901319,-2.5730269999999997,-0.703527,0.637955,-5.122033000000001,641.9107055664062,0.46007000000000003,0.50707,483.437,419.25582530501345,-0.026746999999999993
Ph2-en-nr-70_water.log,Cc1cc(NC(=O)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)no1,4.407,0.081337,-0.3599,-0.0119,-0.4767149999999999,-2.457297,-0.720231,0.658777,-5.4821860000000004,648.0343017578125,0.43327,0.50861,401.723,446.2305109987,-0.03010199999999999
Ph3-ch-216_water.log,CC(C)C[C@H](NC(=O)c1ccc(=O)n(C(C)C)c1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,7.9313,0.117617,-0.34364,-0.02263,-0.7687559999999999,-2.4320150000000003,-0.652078,0.659235,-4.933981,663.7337036132812,0.42254,0.49235,507.444,429.24023663488174,-0.031069000000000013
Ph3-ch-254_water.log,Cc1cc(N)c(C)nc1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.4453,0.180131,-0.32148,-0.01593,-0.9885879999999998,-1.830489,-0.654838,0.640769,-4.889502,631.4022827148438,0.42924,0.47019,439.065,414.2404844979702,-0.028275999999999996
Ph3-ch-263_water.log,CC(C)C[C@H](NC(=O)n1cc(F)c(N)cc1=O)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.4801,0.004256,-0.35169,-0.03555,0.5612060000000001,-2.430411,-0.687245,0.755933,-5.654795999999999,630.6141357421875,0.40962,0.5004,368.74,420.19471107217777,-0.030418999999999998
Ph3-ch-368_water.log,CC(C)C[C@H](NC(=O)c1ncc(N)cc1F)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,14.364,0.081505,-0.33406,-0.03373,-0.14266599999999996,-1.89574,-0.650633,0.635773,-4.885504,618.7469482421875,0.41144000000000003,0.48277000000000003,426.838,404.1997028218436,-0.032543
Ph3-ch-694_water.log,Cc1cn(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c(C)c1N,5.9564,0.1757,-0.31244,-0.01368,-0.8835070000000003,-1.875632,-0.663401,0.726467,-4.899588,632.9470825195312,0.43149,0.46115,514.201,402.2404107867702,-0.02829100000000001
Ph3-ch-909_water.log,CCc1nn(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c(C)c1CO,4.9045,0.14602,-0.36473,-0.01893,-0.9421499999999996,-2.424509,-0.675791,0.775198,-5.047379,677.9154663085938,0.42624,0.51344,464.521,432.25115512963606,-0.028542999999999985
Ph3-en-11_water.log,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.2599,0.151655,-0.35225,-0.03836,-0.7278680000000002,-2.0457859999999997,-0.641265,0.61234,-4.145796000000001,636.8617553710938,0.40681,0.5009600000000001,435.908,410.1979296663254,-0.023359999999999992
Ph3-en-164_water.log,CC(C)C[C@H](NC(=O)c1cc(=O)[nH]c(=O)[nH]1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.2029,-0.022086,-0.37428,-0.0489,1.035779,-2.9628720000000004,-0.708524,0.723606,-6.051279,613.777587890625,0.39627,0.5229900000000001,355.13,404.1833027211049,-0.027086000000000002
Ph3-en-17_water.log,CC(C)C[C@H](NC(=O)C1CCNCC1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.9181,0.149452,-0.34551,0.01531,-1.0729179999999998,-1.9132030000000002,-0.688219,0.612377,-4.5232149999999995,607.316650390625,0.46048,0.49422,404.08,377.2450072509476,-0.030285000000000006
Ph3-en-215_water.log,CC(C)C[C@H](NC(=O)c1ccc(F)cn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,5.2436,0.082441,-0.36509,-0.03594,-0.14849099999999982,-1.8540120000000002,-0.674641,0.609034,-4.45728,596.4403686523438,0.40923,0.5138,367.232,389.18871061588925,-0.023101999999999998
Ph3-en-224_water.log,Cc1ccnc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c1,7.8998,0.162029,-0.36412,-0.02642,-0.7105649999999999,-1.865739,-0.6728,0.608983,-4.383029,632.5015258789062,0.41875,0.51283,422.835,385.2137561994842,-0.024478
Ph3-en-226_water.log,Cc1cccc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)n1,7.8412,0.165031,-0.36362,-0.02615,-0.6802520000000001,-1.861062,-0.675067,0.610126,-4.409167,609.462646484375,0.41902,0.51233,419.492,385.2137561994842,-0.024277999999999994
Ph3-en-272_water.log,CC(C)C[C@H](NC(=O)c1cc(Cl)c2c(c1)OCO2)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.7829,0.044597,-0.34793,-0.03506,-0.15717000000000003,-2.458425,-0.640636,0.623516,-4.560346,644.4017333984375,0.41011000000000003,0.49664,442.733,448.1541028144825,-0.029288999999999996
Ph3-en-296_water.log,CC(C)C[C@H](NC(=O)c1c[nH]c2ncncc12)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,6.3006,0.206053,-0.35137,-0.0393,0.30196700000000015,-1.887438,-0.689844,0.681565,-5.2509879999999995,621.4285888671875,0.40587,0.5000800000000001,417.086,411.2044158487295,-0.031863
Ph3-en-338_water.log,CC(C)C[C@H](NC(=O)c1cccnc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,4.0344,0.152553,-0.36121,-0.02957,-0.3288050000000001,-1.8889280000000002,-0.67779,0.657513,-4.394017,600.5333251953125,0.4156,0.5099199999999999,417.593,371.1980201069525,-0.025373000000000007
Ph3-en-340_water.log,CC(C)C[C@H](NC(=O)c1csc(N)n1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.6744,0.137068,-0.33194,-0.03556,-0.0007259999999998934,-1.8732980000000001,-0.672397,0.616349,-4.880234,608.0748901367188,0.40961000000000003,0.48065,387.696,392.1654689008123,-0.033958000000000016
Ph3-en-342_water.log,Cc1ncc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)s1,11.1729,0.135798,-0.35207,-0.04445,-0.6285780000000003,-1.863914,-0.692026,0.647577,-4.148008000000001,609.5565795898438,0.40072,0.50078,420.306,391.1702127873897,-0.029058
Ph3-en-345_water.log,Cc1cc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)[nH]n1,11.4997,0.167429,-0.36363,-0.01082,-0.739233,-1.891368,-0.723811,0.625818,-4.358367,618.83642578125,0.43435,0.51234,369.635,374.20893860170685,-0.024938000000000016
Ph3-en-36_water.log,CCc1ncnn1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,4.3942,0.186779,-0.37005,-0.02343,-0.13275300000000034,-1.768913,-0.648488,0.744648,-4.9610520000000005,621.457275390625,0.42174,0.51876,423.71,389.21993080766117,-0.024362999999999996
Ph3-en-555_water.log,CSc1ccc(Cl)c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c1,13.6084,0.130579,-0.32591,-0.03134,-1.228797,-1.853856,-0.688151,0.615373,-3.875965,662.9117431640625,0.41383000000000003,0.47462,495.013,450.15200508672166,-0.03209300000000001
Ph3-en-595_water.log,Cc1nn(C)cc1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,7.7386,0.18107,-0.35957,-0.00996,-0.8760940000000003,-1.917364,-0.657569,0.657857,-4.403966999999999,622.4267578125,0.43521,0.5082800000000001,437.653,388.22467469423856,-0.030029
Ph3-en-598_water.log,Cc1n[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c1C,7.0204,0.172963,-0.35254,-0.01344,-1.0233999999999999,-1.8471389999999999,-0.686996,0.634267,-4.367953999999999,633.8870239257812,0.43173,0.50125,452.041,388.22467469423856,-0.024275999999999992
Ph3-en-664_water.log,CCc1cc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)cs1,7.7985,0.155576,-0.34414,-0.03059,-1.410949,-1.8927749999999999,-0.657972,0.62756,-3.7165220000000003,627.9625244140625,0.41458,0.49285,438.164,404.1906927664988,-0.02513500000000002
Ph3-en-697_water.log,CCc1nnn(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)n1,5.6713,0.22418,-0.37261,-0.0404,-0.4128789999999999,-1.7094930000000002,-0.656151,0.741779,-4.456729,640.8132934570312,0.40477,0.52132,474.487,390.21518692108384,-0.024979
